Id,SalePrice
1461,142363.1742973473
1462,159617.50863749423
1463,155134.18873220624
1464,169241.20853046348
1465,228794.8979289833
1466,168273.23721768506
1467,163453.4100297903
1468,164104.77318815814
1469,193973.28381813128
1470,130566.2864928368
1471,195901.65553062008
1472,145457.11984112445
1473,133270.03912232065
1474,165369.28717385273
1475,168809.36316042583
1476,321899.2275188058
1477,264914.0044149789
1478,312550.5594744393
1479,270363.21793433453
1480,352842.9990911577
1481,276814.4425113803
1482,231375.2812656064
1483,168534.05096516138
1484,186469.8876712581
1485,184682.1457883235
1486,193711.1458308448
1487,284908.950990313
1488,267177.6401113653
1489,195570.0342937621
1490,176198.65602926334
1491,193519.7067225592
1492,135189.27992342933
1493,170393.0751816639
1494,270270.17827061255
1495,269231.79459604656
1496,200058.27521028806
1497,196852.42143574727
1498,184146.39958182877
1499,184146.39958182877
1500,161081.5744588465
1501,165727.0790875711
1502,182196.87298566964
1503,264402.5639041439
1504,237241.53997496283
1505,202787.4435356433
1506,190596.8651198083
1507,194812.21533277532
1508,183828.8213216836
1509,167867.37065667394
1510,151969.08429108362
1511,151578.5315938207
1512,162626.0747444084
1513,170328.33761800858
1514,153883.30014809876
1515,170202.58009023676
1516,167354.40325023863
1517,152438.10673324272
1518,167941.25002661304
1519,203073.098571191
1520,138544.63828003913
1521,140599.70882208506
1522,171966.0040824009
1523,126046.56936300715
1524,134418.71845681625
1525,133573.0700492965
1526,133496.28258447483
1527,135233.95252844307
1528,151255.7916530146
1529,149969.01874701565
1530,171287.6206890664
1531,133974.9737933372
1532,126661.42774902708
1533,157571.91279449954
1534,151368.29777347154
1535,144998.5455744263
1536,138841.34576068204
1537,108037.62571336878
1538,218212.80560472436
1539,242269.15096331845
1540,148955.24729023335
1541,169950.70427697166
1542,145879.85001548028
1543,192939.92291224608
1544,115261.60481847767
1545,148153.69218472825
1546,162916.99080961113
1547,140146.9141497045
1548,154855.02820289036
1549,146637.0236825636
1550,153453.52226454392
1551,151577.10896861507
1552,150783.49673964863
1553,151327.522378935
1554,151244.4935442773
1555,153379.96506143673
1556,134730.74130324955
1557,137921.42880618115
1558,144372.30139565418
1559,129443.90699673636
1560,154677.03558170894
1561,145800.28388822204
1562,133224.5060557253
1563,130538.50185077687
1564,158727.73087972603
1565,150358.1106873501
1566,204166.63963755872
1567,125141.17461950761
1568,179169.3270797531
1569,121797.80606452387
1570,151179.50891412844
1571,128479.23680222657
1572,140359.15037934083
1573,202673.816353335
1574,153783.72833344992
1575,198598.5957291767
1576,188009.5780167864
1577,193779.30726548718
1578,165198.03399449802
1579,145706.70283411528
1580,195191.1787298888
1581,135089.34037300333
1582,141605.65852594533
1583,281756.1889941562
1584,206894.18352843917
1585,154315.27018888047
1586,94893.69038049119
1587,131023.57268620147
1588,140630.3105520515
1589,132548.7229907449
1590,151640.3864403782
1591,115018.23356652372
1592,140195.25763827894
1593,154071.69026616318
1594,138664.50687339422
1595,139113.62707175504
1596,201150.60622127884
1597,165705.0621815942
1598,191346.76785077117
1599,223199.351478873
